recency,history,mens,womens,newbie,visit,conversion,spend,zip_code__rural,zip_code__surburban,zip_code__urban,channel__multichannel,channel__phone,channel__web,treatment
10,142.44,1,0,0,0,0,0.0,0,1,0,0,1,0,1
6,329.08,1,1,1,0,0,0.0,1,0,0,0,0,1,0
7,180.65,0,1,1,0,0,0.0,0,1,0,0,0,1,1
9,675.83,1,0,1,0,0,0.0,1,0,0,0,0,1,2
2,45.34,1,0,0,0,0,0.0,0,0,1,0,0,1,1
6,134.83,0,1,0,1,0,0.0,0,1,0,0,1,0,1
9,280.2,1,0,1,0,0,0.0,0,1,0,0,1,0,1
9,46.42,0,1,0,0,0,0.0,0,0,1,0,1,0,1
9,675.07,1,1,1,0,0,0.0,1,0,0,0,1,0,2
10,32.84,0,1,1,0,0,0.0,0,0,1,0,0,1,1
7,548.91,0,1,1,1,0,0.0,0,0,1,0,1,0,1
1,211.45,0,1,1,0,0,0.0,0,0,1,0,1,0,1
5,642.9,0,1,1,0,0,0.0,0,1,0,1,0,0,1
2,101.64,0,1,0,1,0,0.0,0,0,1,0,0,1,2
4,241.42,0,1,1,0,0,0.0,1,0,0,1,0,0,0
3,58.13,1,0,1,1,0,0.0,0,0,1,0,0,1,0
5,29.99,1,0,0,0,0,0.0,0,1,0,0,1,0,2
9,112.35,1,0,0,0,0,0.0,1,0,0,0,0,1,2
11,219.04,1,1,0,0,0,0.0,0,1,0,0,1,0,2
5,828.42,1,0,1,0,0,0.0,0,1,0,1,0,0,2
9,29.99,0,1,1,0,0,0.0,0,1,0,0,1,0,0
11,182.32,1,0,0,0,0,0.0,0,1,0,0,1,0,2
2,118.4,1,0,0,1,0,0.0,0,1,0,0,0,1,2
2,29.99,0,1,1,0,0,0.0,0,0,1,0,1,0,0
4,78.24,1,0,0,0,0,0.0,0,1,0,0,0,1,0
6,139.87,0,1,1,0,0,0.0,1,0,0,0,0,1,2
12,115.39,0,1,0,1,0,0.0,0,1,0,0,1,0,2
6,162.98,0,1,0,0,0,0.0,0,1,0,0,0,1,2
7,435.73,0,1,1,0,0,0.0,0,0,1,0,0,1,0
2,203.35,1,0,0,0,0,0.0,1,0,0,0,0,1,0
2,237.53,0,1,0,0,0,0.0,0,1,0,0,1,0,1
9,334.24,1,0,0,0,0,0.0,0,0,1,0,0,1,2
6,128.01,0,1,0,0,0,0.0,0,0,1,0,0,1,2
9,29.99,1,0,1,0,0,0.0,0,1,0,0,1,0,2
3,29.99,1,0,0,0,0,0.0,1,0,0,0,0,1,1
4,218.72,0,1,0,0,0,0.0,0,0,1,1,0,0,1
1,514.52,0,1,1,0,0,0.0,0,1,0,0,0,1,2
